Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AT5G56270	WRKY	MP00071	Arabidopsis thaliana	PBM	PMID:25215497	M1701_1.02
AT5G56840	MYB_related	MP00565	Arabidopsis thaliana	DAP	PMID:27203113	AT5G56840
AT5G58080	ARR-B	MP00057	Arabidopsis thaliana	PBM	PMID:25215497	M1345_1.02
AT5G58620	C3H	MP00566	Arabidopsis thaliana	DAP	PMID:27203113	AT5G58620
AT5G58850	MYB	MP00567	Arabidopsis thaliana	DAP	PMID:27203113	AT5G58850
AT5G58900	MYB_related	MP00568	Arabidopsis thaliana	DAP	PMID:27203113	AT5G58900
AT5G59780	MYB_related	MP00600	Arabidopsis thaliana	PBM	PMID:24477691	MYB59
AT5G60120	AP2	MP00616	Arabidopsis thaliana	PBM	PMID:24477691	TOE2
AT5G60130	B3	MP00569	Arabidopsis thaliana	DAP	PMID:27203113	AT5G60130
AT5G60850	Dof	MP00570	Arabidopsis thaliana	DAP	PMID:27203113	AT5G60850
AT5G60970	TCP	MP00065	Arabidopsis thaliana	PBM	PMID:25215497	M1650_1.02
AT5G61270	bHLH	MP00571	Arabidopsis thaliana	DAP	PMID:27203113	AT5G61270
AT5G61600	ERF	MP00572	Arabidopsis thaliana	DAP	PMID:27203113	AT5G61600
AT5G61620	MYB_related	MP00573	Arabidopsis thaliana	DAP	PMID:27203113	AT5G61620
AT5G61850	LFY	MP00095	Arabidopsis thaliana	SELEX	PMID:26531826	MA0590.1
AT5G62000	ARF	MP00574	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62000
AT5G62020	HSF	MP00575	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62020
AT5G62165	MIKC_MADS	MP00576	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62165
AT5G62320	MYB	MP00577	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62320
AT5G62380	NAC	MP00578	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62380
AT5G62470	MYB	MP00579	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62470
AT5G62940	Dof	MP00580	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62940
AT5G63090	LBD	MP00581	Arabidopsis thaliana	DAP	PMID:27203113	AT5G63090
AT5G63260	C3H	MP00582	Arabidopsis thaliana	DAP	PMID:27203113	AT5G63260
AT5G64060	NAC	MP00583	Arabidopsis thaliana	DAP	PMID:27203113	AT5G64060
AT5G64220	CAMTA	MP00043	Arabidopsis thaliana	PBM	PMID:25215497	M0582_1.02
AT5G64750	ERF	MP00584	Arabidopsis thaliana	DAP	PMID:27203113	AT5G64750
AT5G65130	ERF	MP00585	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65130
AT5G65210	bZIP	MP00586	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65210
AT5G65310	HD-ZIP	MP00587	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65310
AT5G65410	ZF-HD	MP00588	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65410
AT5G65510	AP2	MP00589	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65510
AT5G66300	NAC	MP00590	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66300
AT5G66700	HD-ZIP	MP00591	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66700
AT5G66730	C2H2	MP00592	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66730
AT5G66940	Dof	MP00593	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66940
AT5G67000	ERF	MP00594	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67000
AT5G67190	ERF	MP00595	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67190
AT5G67300	MYB	MP00596	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67300
AT5G67450	C2H2	MP00118	Arabidopsis thaliana	ampDAP	PMID:27203113	AT5G67450
AT5G67580	MYB_related	MP00597	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67580
